lat,lon
40.82,29.29
40.82,29.32
40.84,29.29
40.84,29.32
40.84,29.35
40.86,29.26
40.86,29.29
40.86,29.32
40.86,29.35
40.88,29.2
40.88,29.23
40.88,29.26
40.88,29.29
40.88,29.32
40.88,29.35
40.88,29.38
40.88,29.41
40.9,29.14
40.9,29.17
40.9,29.2
40.9,29.23
40.9,29.26
40.9,29.29
40.9,29.32
40.9,29.35
40.9,29.38
40.9,29.41
40.92,29.14
40.92,29.17
40.92,29.2
40.92,29.23
40.92,29.26
40.92,29.29
40.92,29.32
40.92,29.35
40.92,29.38
40.92,29.41
40.94,29.11
40.94,29.14
40.94,29.17
40.94,29.2
40.94,29.23
40.94,29.26
40.94,29.29
40.94,29.32
40.94,29.35
40.94,29.38
40.94,29.41
40.96,28.63
40.96,28.81
40.96,28.84
40.96,29.08
40.96,29.11
40.96,29.14
40.96,29.17
40.96,29.2
40.96,29.23
40.96,29.26
40.96,29.29
40.96,29.32
40.96,29.35
40.96,29.38
40.96,29.41
40.96,29.44
40.96,29.47
40.98,28.6
40.98,28.63
40.98,28.66
40.98,28.69
40.98,28.72
40.98,28.75
40.98,28.78
40.98,28.81
40.98,28.84
40.98,28.87
40.98,28.9
40.98,29.02
40.98,29.05
40.98,29.08
40.98,29.11
40.98,29.14
40.98,29.17
40.98,29.2
40.98,29.23
40.98,29.26
40.98,29.29
40.98,29.32
40.98,29.35
40.98,29.38
40.98,29.41
40.98,29.44
40.98,29.47
40.98,29.62
40.98,29.65
40.98,29.68
41.0,28.51
41.0,28.54
41.0,28.6
41.0,28.63
41.0,28.66
41.0,28.69
41.0,28.72
41.0,28.75
41.0,28.78
41.0,28.81
41.0,28.84
41.0,28.87
41.0,28.9
41.0,28.93
41.0,28.96
41.0,29.02
41.0,29.05
41.0,29.08
41.0,29.11
41.0,29.14
41.0,29.17
41.0,29.2
41.0,29.23
41.0,29.26
41.0,29.29
41.0,29.32
41.0,29.35
41.0,29.38
41.0,29.41
41.0,29.44
41.0,29.47
41.0,29.5
41.0,29.62
41.0,29.65
41.0,29.68
41.0,29.71
41.02,28.48
41.02,28.51
41.02,28.54
41.02,28.6
41.02,28.63
41.02,28.66
41.02,28.69
41.02,28.72
41.02,28.75
41.02,28.78
41.02,28.81
41.02,28.84
41.02,28.87
41.02,28.9
41.02,28.93
41.02,28.96
41.02,29.02
41.02,29.05
41.02,29.08
41.02,29.11
41.02,29.14
41.02,29.17
41.02,29.2
41.02,29.23
41.02,29.26
41.02,29.29
41.02,29.32
41.02,29.35
41.02,29.38
41.02,29.41
41.02,29.44
41.02,29.47
41.02,29.5
41.02,29.62
41.02,29.65
41.02,29.68
41.02,29.83
41.04,28.03
41.04,28.42
41.04,28.45
41.04,28.48
41.04,28.51
41.04,28.54
41.04,28.6
41.04,28.63
41.04,28.66
41.04,28.69
41.04,28.72
41.04,28.75
41.04,28.78
41.04,28.81
41.04,28.84
41.04,28.87
41.04,28.9
41.04,28.93
41.04,28.96
41.04,28.99
41.04,29.05
41.04,29.08
41.04,29.11
41.04,29.14
41.04,29.17
41.04,29.2
41.04,29.23
41.04,29.26
41.04,29.29
41.04,29.32
41.04,29.35
41.04,29.38
41.04,29.41
41.04,29.44
41.04,29.47
41.04,29.5
41.04,29.53
41.04,29.56
41.04,29.59
41.04,29.62
41.04,29.65
41.04,29.68
41.04,29.71
41.04,29.74
41.04,29.77
41.04,29.8
41.04,29.83
41.04,29.86
41.06,28.0
41.06,28.03
41.06,28.06
41.06,28.09
41.06,28.12
41.06,28.3
41.06,28.33
41.06,28.36
41.06,28.39
41.06,28.42
41.06,28.45
41.06,28.48
41.06,28.51
41.06,28.54
41.06,28.57
41.06,28.6
41.06,28.63
41.06,28.66
41.06,28.69
41.06,28.72
41.06,28.75
41.06,28.78
41.06,28.81
41.06,28.84
41.06,28.87
41.06,28.9
41.06,28.93
41.06,28.96
41.06,28.99
41.06,29.02
41.06,29.08
41.06,29.11
41.06,29.14
41.06,29.17
41.06,29.2
41.06,29.23
41.06,29.26
41.06,29.29
41.06,29.32
41.06,29.35
41.06,29.38
41.06,29.41
41.06,29.44
41.06,29.47
41.06,29.5
41.06,29.53
41.06,29.56
41.06,29.59
41.06,29.62
41.06,29.65
41.06,29.68
41.06,29.71
41.06,29.74
41.06,29.77
41.06,29.8
41.06,29.83
41.06,29.86
41.08,28.0
41.08,28.03
41.08,28.06
41.08,28.09
41.08,28.12
41.08,28.15
41.08,28.18
41.08,28.21
41.08,28.24
41.08,28.27
41.08,28.3
41.08,28.33
41.08,28.36
41.08,28.39
41.08,28.42
41.08,28.45
41.08,28.48
41.08,28.51
41.08,28.54
41.08,28.57
41.08,28.6
41.08,28.63
41.08,28.66
41.08,28.69
41.08,28.72
41.08,28.75
41.08,28.78
41.08,28.81
41.08,28.84
41.08,28.87
41.08,28.9
41.08,28.93
41.08,28.96
41.08,28.99
41.08,29.02
41.08,29.05
41.08,29.08
41.08,29.11
41.08,29.14
