lat,lon,date,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
41.28,28.6,202001,5.88,0.41,67.27,3.4
41.28,28.6,202002,8.94,0.45,65.83,1.99
41.28,28.6,202003,12.22,0.45,62.63,1.36
41.28,28.6,202004,18.39,0.53,49.17,1.37
41.28,28.6,202005,21.1,0.53,63.47,2.43
41.28,28.6,202006,24.14,0.58,49.41,1.66
41.28,28.6,202007,25.96,0.64,23.86,0.18
41.28,28.6,202008,22.77,0.63,28.51,0.3
41.28,28.6,202009,17.14,0.58,36.2,0.47
41.28,28.6,202010,10.9,0.5,47.13,2.95
41.28,28.6,202011,5.87,0.37,66.43,1.36
41.28,28.6,202012,3.93,0.31,81.12,1.47
41.28,28.6,202013,14.77,0.53,53.42,1.58
41.28,28.6,202101,5.5,0.38,75.67,6.54
41.28,28.6,202102,9.02,0.45,64.8,1.95
41.28,28.6,202103,12.06,0.44,65.58,2.19
41.28,28.6,202104,16.9,0.49,63.67,1.96
41.28,28.6,202105,21.98,0.56,54.68,1.6
41.28,28.6,202106,22.98,0.55,48.82,2.3
41.28,28.6,202107,24.9,0.62,28.68,0.83
41.28,28.6,202108,22.45,0.62,25.99,0.5
41.28,28.6,202109,15.82,0.54,53.98,0.92
41.28,28.6,202110,8.63,0.39,69.79,1.66
41.28,28.6,202111,6.25,0.4,70.03,1.96
41.28,28.6,202112,4.45,0.35,77.37,3.55
41.28,28.6,202113,14.24,0.51,58.25,2.16
41.28,28.6,202201,6.03,0.42,67.2,2.19
41.28,28.6,202202,8.67,0.44,60.71,4.75
41.28,28.6,202203,11.74,0.43,73.13,1.44
41.28,28.6,202204,17.91,0.52,56.25,2.26
41.28,28.6,202205,24.39,0.62,41.91,0.47
41.28,28.6,202206,23.46,0.56,42.77,1.84
41.28,28.6,202207,26.68,0.66,19.05,2.17
41.28,28.6,202208,20.87,0.58,32.62,1.59
41.28,28.6,202209,16.33,0.55,37.45,1.24
41.28,28.6,202210,11.49,0.52,47.01,0.42
41.28,28.6,202211,6.49,0.41,67.58,1.23
41.28,28.6,202212,4.66,0.36,69.79,1.92
41.28,28.6,202213,14.89,0.54,51.29,1.79
41.28,28.6,202301,5.51,0.38,69.94,1.04
41.28,28.6,202302,8.89,0.45,66.0,1.93
41.28,28.6,202303,11.1,0.41,71.25,2.63
41.28,28.6,202304,15.63,0.45,72.39,2.79
41.28,28.6,202305,18.84,0.48,71.78,1.09
41.28,28.6,202306,24.01,0.58,45.28,0.55
41.28,28.6,202307,26.15,0.65,23.83,0.34
41.28,28.6,202308,21.47,0.59,31.41,0.25
41.28,28.6,202309,16.72,0.56,46.02,2.03
41.28,28.6,202310,11.52,0.52,49.57,0.64
41.28,28.6,202311,6.49,0.41,68.19,8.01
41.28,28.6,202312,4.82,0.38,64.93,2.73
41.28,28.6,202313,14.26,0.51,56.72,2.0
41.28,28.63,202001,5.88,0.41,67.27,3.4
41.28,28.63,202002,8.94,0.45,65.83,1.99
41.28,28.63,202003,12.22,0.45,62.63,1.36
41.28,28.63,202004,18.39,0.53,49.17,1.37
41.28,28.63,202005,21.1,0.53,63.47,2.43
41.28,28.63,202006,24.14,0.58,49.41,1.66
41.28,28.63,202007,25.96,0.64,23.86,0.18
41.28,28.63,202008,22.77,0.63,28.51,0.3
41.28,28.63,202009,17.14,0.58,36.2,0.47
41.28,28.63,202010,10.9,0.5,47.13,2.95
41.28,28.63,202011,5.87,0.37,66.43,1.36
41.28,28.63,202012,3.93,0.31,81.12,1.47
41.28,28.63,202013,14.77,0.53,53.42,1.58
41.28,28.63,202101,5.5,0.38,75.67,6.54
41.28,28.63,202102,9.02,0.45,64.8,1.95
41.28,28.63,202103,12.06,0.44,65.58,2.19
41.28,28.63,202104,16.9,0.49,63.67,1.96
41.28,28.63,202105,21.98,0.56,54.68,1.6
41.28,28.63,202106,22.98,0.55,48.82,2.3
41.28,28.63,202107,24.9,0.62,28.68,0.83
41.28,28.63,202108,22.45,0.62,25.99,0.5
41.28,28.63,202109,15.82,0.54,53.98,0.92
41.28,28.63,202110,8.63,0.39,69.79,1.66
41.28,28.63,202111,6.25,0.4,70.03,1.96
41.28,28.63,202112,4.45,0.35,77.37,3.55
41.28,28.63,202113,14.24,0.51,58.25,2.16
41.28,28.63,202201,6.03,0.42,67.2,2.19
