lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,suitability_score
40.82,29.32,0.331,0.535,0.285,0.337,0.2765
41.18,28.66,0.319,0.5225,0.309,0.298,0.2671
40.98,28.66,0.337,0.5475,0.333,0.298,0.2823
40.94,29.26,0.331,0.535,0.285,0.337,0.2765
40.92,29.32,0.331,0.535,0.285,0.337,0.2765
40.98,29.23,0.331,0.535,0.285,0.337,0.2765
40.96,29.26,0.331,0.535,0.285,0.337,0.2765
40.92,29.2,0.331,0.535,0.285,0.337,0.2765
40.98,28.75,0.337,0.5475,0.333,0.298,0.2823
40.98,28.69,0.337,0.5475,0.333,0.298,0.2823
40.96,28.63,0.337,0.5475,0.333,0.298,0.2823
40.9,29.41,0.331,0.535,0.285,0.337,0.2765
40.98,28.9,0.337,0.5475,0.333,0.298,0.2823
40.98,29.26,0.331,0.535,0.285,0.337,0.2765
40.94,29.14,0.331,0.535,0.285,0.337,0.2765
40.98,28.84,0.337,0.5475,0.333,0.298,0.2823
40.88,29.32,0.331,0.535,0.285,0.337,0.2765
40.94,29.2,0.331,0.535,0.285,0.337,0.2765
41.14,28.54,0.319,0.5225,0.309,0.298,0.2671
40.9,29.17,0.331,0.535,0.285,0.337,0.2765
