lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,suitability_score
41.1,28.33,0.319,0.5225,0.309,0.301,0.2668
41.18,28.57,0.319,0.5225,0.309,0.298,0.2671
40.98,29.17,0.331,0.535,0.285,0.337,0.2765
41.16,29.44,0.321,0.5275,0.353,0.337,0.2612
41.3,28.09,0.319,0.5225,0.309,0.306,0.2663
40.98,29.44,0.331,0.535,0.285,0.337,0.2765
41.26,28.42,0.319,0.5225,0.309,0.306,0.2663
41.08,28.27,0.319,0.5225,0.309,0.301,0.2668
41.24,29.05,0.321,0.5275,0.353,0.298,0.2651
40.88,29.29,0.331,0.535,0.285,0.337,0.2765
41.08,28.84,0.319,0.5225,0.309,0.298,0.2671
41.16,28.48,0.319,0.5225,0.309,0.298,0.2671
41.06,28.39,0.319,0.5225,0.309,0.301,0.2668
40.96,29.41,0.331,0.535,0.285,0.337,0.2765
40.94,29.38,0.331,0.535,0.285,0.337,0.2765
41.2,28.42,0.319,0.5225,0.309,0.301,0.2668
41.02,29.44,0.321,0.5275,0.353,0.337,0.2612
41.16,29.68,0.321,0.5275,0.353,0.337,0.2612
41.5,28.09,0.319,0.5225,0.309,0.306,0.2663
41.16,28.9,0.319,0.5225,0.309,0.298,0.2671
