lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,suitability_score
40.94,29.35,0.331,0.535,0.285,0.337,0.2765
40.98,28.72,0.337,0.5475,0.333,0.298,0.2823
40.86,29.32,0.331,0.535,0.285,0.337,0.2765
40.98,28.87,0.337,0.5475,0.333,0.298,0.2823
40.98,29.32,0.331,0.535,0.285,0.337,0.2765
40.96,28.63,0.337,0.5475,0.333,0.298,0.2823
40.96,28.84,0.337,0.5475,0.333,0.298,0.2823
40.98,29.17,0.331,0.535,0.285,0.337,0.2765
40.88,29.23,0.331,0.535,0.285,0.337,0.2765
40.98,28.78,0.337,0.5475,0.333,0.298,0.2823
40.96,28.81,0.337,0.5475,0.333,0.298,0.2823
40.98,28.6,0.337,0.5475,0.333,0.298,0.2823
40.92,29.17,0.331,0.535,0.285,0.337,0.2765
40.98,28.75,0.337,0.5475,0.333,0.298,0.2823
40.98,28.63,0.337,0.5475,0.333,0.298,0.2823
40.98,28.69,0.337,0.5475,0.333,0.298,0.2823
40.92,29.26,0.331,0.535,0.285,0.337,0.2765
40.96,29.35,0.331,0.535,0.285,0.337,0.2765
40.92,29.29,0.331,0.535,0.285,0.337,0.2765
40.98,28.66,0.337,0.5475,0.333,0.298,0.2823
