lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,suitability_score
40.84,29.35,0.331,0.535,0.285,0.337,0.2765
40.98,28.63,0.337,0.5475,0.333,0.298,0.2823
40.98,28.66,0.337,0.5475,0.333,0.298,0.2823
40.98,28.84,0.337,0.5475,0.333,0.298,0.2823
40.98,28.9,0.337,0.5475,0.333,0.298,0.2823
40.98,29.05,0.331,0.535,0.285,0.298,0.28040000000000004
40.98,29.44,0.331,0.535,0.285,0.337,0.2765
41.06,28.42,0.319,0.5225,0.309,0.301,0.2668
41.06,28.72,0.319,0.5225,0.309,0.298,0.2671
41.1,28.66,0.319,0.5225,0.309,0.298,0.2671
41.12,28.84,0.319,0.5225,0.309,0.298,0.2671
41.14,28.78,0.319,0.5225,0.309,0.298,0.2671
41.16,28.69,0.319,0.5225,0.309,0.298,0.2671
41.18,28.78,0.319,0.5225,0.309,0.298,0.2671
41.22,28.63,0.319,0.5225,0.309,0.298,0.2671
41.24,28.66,0.319,0.5225,0.309,0.298,0.2671
41.24,28.99,0.319,0.5225,0.309,0.298,0.2671
41.3,28.42,0.319,0.5225,0.309,0.306,0.2663
41.34,28.12,0.319,0.5225,0.309,0.306,0.2663
41.4,28.27,0.319,0.5225,0.309,0.306,0.2663
