lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
41.38,28.33,14.54,0.5225,54.92,1.6875
41.38,28.36,14.54,0.5225,54.92,1.6875
41.38,28.39,14.54,0.5225,54.92,1.6875
41.38,28.42,14.54,0.5225,54.92,1.6875
41.38,28.45,14.54,0.5225,54.92,1.8825
41.38,28.48,14.54,0.5225,54.92,1.8825
41.38,28.51,14.54,0.5225,54.92,1.8825
41.38,28.54,14.54,0.5225,54.92,1.8825
41.4,28.12,14.54,0.5225,54.92,1.6875
41.4,28.15,14.54,0.5225,54.92,1.6875
41.4,28.18,14.54,0.5225,54.92,1.6875
41.4,28.21,14.54,0.5225,54.92,1.6875
41.4,28.24,14.54,0.5225,54.92,1.6875
41.4,28.27,14.54,0.5225,54.92,1.6875
41.4,28.3,14.54,0.5225,54.92,1.6875
41.4,28.33,14.54,0.5225,54.92,1.6875
41.4,28.36,14.54,0.5225,54.92,1.6875
41.4,28.39,14.54,0.5225,54.92,1.6875
41.4,28.42,14.54,0.5225,54.92,1.6875
41.4,28.45,14.54,0.5225,54.92,1.8825
41.4,28.48,14.54,0.5225,54.92,1.8825
41.42,28.12,14.54,0.5225,54.92,1.6875
41.42,28.15,14.54,0.5225,54.92,1.6875
41.42,28.18,14.54,0.5225,54.92,1.6875
41.42,28.21,14.54,0.5225,54.92,1.6875
41.42,28.24,14.54,0.5225,54.92,1.6875
41.42,28.27,14.54,0.5225,54.92,1.6875
41.42,28.3,14.54,0.5225,54.92,1.6875
41.42,28.33,14.54,0.5225,54.92,1.6875
41.42,28.36,14.54,0.5225,54.92,1.6875
41.42,28.39,14.54,0.5225,54.92,1.6875
41.42,28.42,14.54,0.5225,54.92,1.6875
41.42,28.45,14.54,0.5225,54.92,1.8825
41.44,28.12,14.54,0.5225,54.92,1.6875
41.44,28.15,14.54,0.5225,54.92,1.6875
41.44,28.18,14.54,0.5225,54.92,1.6875
41.44,28.21,14.54,0.5225,54.92,1.6875
41.44,28.24,14.54,0.5225,54.92,1.6875
41.44,28.27,14.54,0.5225,54.92,1.6875
41.44,28.3,14.54,0.5225,54.92,1.6875
41.44,28.33,14.54,0.5225,54.92,1.6875
41.44,28.36,14.54,0.5225,54.92,1.6875
41.44,28.39,14.54,0.5225,54.92,1.6875
41.46,28.12,14.54,0.5225,54.92,1.6875
41.46,28.15,14.54,0.5225,54.92,1.6875
41.46,28.18,14.54,0.5225,54.92,1.6875
41.46,28.21,14.54,0.5225,54.92,1.6875
41.46,28.24,14.54,0.5225,54.92,1.6875
41.46,28.27,14.54,0.5225,54.92,1.6875
41.46,28.3,14.54,0.5225,54.92,1.6875
41.46,28.33,14.54,0.5225,54.92,1.6875
41.48,28.12,14.54,0.5225,54.92,1.6875
41.48,28.15,14.54,0.5225,54.92,1.6875
41.48,28.18,14.54,0.5225,54.92,1.6875
41.48,28.21,14.54,0.5225,54.92,1.6875
41.48,28.24,14.54,0.5225,54.92,1.6875
41.48,28.27,14.54,0.5225,54.92,1.6875
41.48,28.3,14.54,0.5225,54.92,1.6875
41.5,28.09,14.54,0.5225,54.92,1.6875
41.5,28.12,14.54,0.5225,54.92,1.6875
41.5,28.15,14.54,0.5225,54.92,1.6875
41.5,28.18,14.54,0.5225,54.92,1.6875
41.5,28.21,14.54,0.5225,54.92,1.6875
41.5,28.24,14.54,0.5225,54.92,1.6875
41.52,28.12,14.54,0.5225,54.92,1.6875
41.52,28.15,14.54,0.5225,54.92,1.6875
41.52,28.18,14.54,0.5225,54.92,1.6875
41.52,28.21,14.54,0.5225,54.92,1.6875
41.54,28.15,14.54,0.5225,54.92,1.6875
41.54,28.18,14.54,0.5225,54.92,1.6875
41.56,28.15,14.54,0.5225,54.92,1.6875
41.56,28.18,14.54,0.5225,54.92,1.6875
41.58,28.15,14.54,0.5225,54.92,1.6875
