lat,lon,avg_score
36.0,36.0,0.80142
37.0,29.0,0.70869
37.0,30.0,0.68479
37.0,31.0,0.6847
37.0,32.0,0.68667
37.0,33.0,0.79039
37.0,34.0,0.66821
37.0,35.0,0.59801
37.0,36.0,0.63848
37.0,37.0,0.71712
37.0,38.0,0.72567
37.0,39.0,0.77088
37.0,40.0,0.76494
38.0,28.0,0.63554
38.0,29.0,0.6205
38.0,30.0,0.58905
38.0,31.0,0.6436
38.0,32.0,0.63644
38.0,33.0,0.75943
38.0,34.0,0.69611
38.0,35.0,0.6939
38.0,36.0,0.6959
38.0,37.0,0.71947
38.0,38.0,0.66317
38.0,39.0,0.67123
38.0,40.0,0.64278
38.0,41.0,0.62136
38.0,42.0,0.61626
38.0,43.0,0.75508
38.0,44.0,0.66062
39.0,27.0,0.38687
39.0,28.0,0.39387
39.0,29.0,0.39778
39.0,30.0,0.44573
39.0,31.0,0.51414
39.0,32.0,0.56583
39.0,33.0,0.57478
39.0,34.0,0.57747
39.0,35.0,0.56504
39.0,36.0,0.54824
39.0,37.0,0.57004
39.0,38.0,0.55013
39.0,39.0,0.5233
39.0,40.0,0.60119
39.0,41.0,0.63226
39.0,42.0,0.64691
39.0,43.0,0.58033
39.0,44.0,0.54406
40.0,27.0,0.3085
40.0,28.0,0.21522
40.0,29.0,0.22443
40.0,30.0,0.18283
40.0,31.0,0.2604
40.0,32.0,0.34953
40.0,33.0,0.40622
40.0,34.0,0.41633
40.0,35.0,0.34201
40.0,36.0,0.20893
40.0,37.0,0.08446
40.0,38.0,0.0984
40.0,39.0,0.1403
40.0,40.0,0.19723
40.0,41.0,0.40033
40.0,42.0,0.5066
40.0,43.0,0.49218
40.0,44.0,0.341
41.0,27.0,0.22772
41.0,30.0,0.0504
41.0,31.0,0.08385
41.0,32.0,0.13567
41.0,33.0,0.16262
41.0,34.0,0.17095
41.0,35.0,0.15271
41.0,36.0,0.02793
41.0,37.0,0.01598
41.0,39.0,-0.08968
41.0,41.0,-0.19507
41.0,42.0,0.04439
41.0,43.0,0.15457
42.0,27.0,0.125
42.0,35.0,0.10278
36.33,29.33,0.80963
36.33,30.0,0.77191
36.33,30.33,0.78239
36.33,29.67,0.78157
36.33,32.33,0.75455
36.33,33.0,0.79311
36.33,33.33,0.7895
36.33,32.67,0.77697
36.33,34.0,0.78935
