lat,lon,ALLSKY_SFC_SW_DWN_202001,ALLSKY_SFC_SW_DWN_202002,ALLSKY_SFC_SW_DWN_202003,ALLSKY_SFC_SW_DWN_202004,ALLSKY_SFC_SW_DWN_202005,ALLSKY_SFC_SW_DWN_202006,ALLSKY_SFC_SW_DWN_202007,ALLSKY_SFC_SW_DWN_202008,ALLSKY_SFC_SW_DWN_202009,ALLSKY_SFC_SW_DWN_202010,ALLSKY_SFC_SW_DWN_202011,ALLSKY_SFC_SW_DWN_202012,ALLSKY_SFC_SW_DWN_202013,ALLSKY_SFC_SW_DWN_202101,ALLSKY_SFC_SW_DWN_202102,ALLSKY_SFC_SW_DWN_202103,ALLSKY_SFC_SW_DWN_202104,ALLSKY_SFC_SW_DWN_202105,ALLSKY_SFC_SW_DWN_202106,ALLSKY_SFC_SW_DWN_202107,ALLSKY_SFC_SW_DWN_202108,ALLSKY_SFC_SW_DWN_202109,ALLSKY_SFC_SW_DWN_202110,ALLSKY_SFC_SW_DWN_202111,ALLSKY_SFC_SW_DWN_202112,ALLSKY_SFC_SW_DWN_202113,ALLSKY_SFC_SW_DWN_202201,ALLSKY_SFC_SW_DWN_202202,ALLSKY_SFC_SW_DWN_202203,ALLSKY_SFC_SW_DWN_202204,ALLSKY_SFC_SW_DWN_202205,ALLSKY_SFC_SW_DWN_202206,ALLSKY_SFC_SW_DWN_202207,ALLSKY_SFC_SW_DWN_202208,ALLSKY_SFC_SW_DWN_202209,ALLSKY_SFC_SW_DWN_202210,ALLSKY_SFC_SW_DWN_202211,ALLSKY_SFC_SW_DWN_202212,ALLSKY_SFC_SW_DWN_202213,ALLSKY_SFC_SW_DWN_202301,ALLSKY_SFC_SW_DWN_202302,ALLSKY_SFC_SW_DWN_202303,ALLSKY_SFC_SW_DWN_202304,ALLSKY_SFC_SW_DWN_202305,ALLSKY_SFC_SW_DWN_202306,ALLSKY_SFC_SW_DWN_202307,ALLSKY_SFC_SW_DWN_202308,ALLSKY_SFC_SW_DWN_202309,ALLSKY_SFC_SW_DWN_202310,ALLSKY_SFC_SW_DWN_202311,ALLSKY_SFC_SW_DWN_202312,ALLSKY_SFC_SW_DWN_202313,ALLSKY_KT_202001,ALLSKY_KT_202002,ALLSKY_KT_202003,ALLSKY_KT_202004,ALLSKY_KT_202005,ALLSKY_KT_202006,ALLSKY_KT_202007,ALLSKY_KT_202008,ALLSKY_KT_202009,ALLSKY_KT_202010,ALLSKY_KT_202011,ALLSKY_KT_202012,ALLSKY_KT_202013,ALLSKY_KT_202101,ALLSKY_KT_202102,ALLSKY_KT_202103,ALLSKY_KT_202104,ALLSKY_KT_202105,ALLSKY_KT_202106,ALLSKY_KT_202107,ALLSKY_KT_202108,ALLSKY_KT_202109,ALLSKY_KT_202110,ALLSKY_KT_202111,ALLSKY_KT_202112,ALLSKY_KT_202113,ALLSKY_KT_202201,ALLSKY_KT_202202,ALLSKY_KT_202203,ALLSKY_KT_202204,ALLSKY_KT_202205,ALLSKY_KT_202206,ALLSKY_KT_202207,ALLSKY_KT_202208,ALLSKY_KT_202209,ALLSKY_KT_202210,ALLSKY_KT_202211,ALLSKY_KT_202212,ALLSKY_KT_202213,ALLSKY_KT_202301,ALLSKY_KT_202302,ALLSKY_KT_202303,ALLSKY_KT_202304,ALLSKY_KT_202305,ALLSKY_KT_202306,ALLSKY_KT_202307,ALLSKY_KT_202308,ALLSKY_KT_202309,ALLSKY_KT_202310,ALLSKY_KT_202311,ALLSKY_KT_202312,ALLSKY_KT_202313,CLOUD_AMT_202001,CLOUD_AMT_202002,CLOUD_AMT_202003,CLOUD_AMT_202004,CLOUD_AMT_202005,CLOUD_AMT_202006,CLOUD_AMT_202007,CLOUD_AMT_202008,CLOUD_AMT_202009,CLOUD_AMT_202010,CLOUD_AMT_202011,CLOUD_AMT_202012,CLOUD_AMT_202013,CLOUD_AMT_202101,CLOUD_AMT_202102,CLOUD_AMT_202103,CLOUD_AMT_202104,CLOUD_AMT_202105,CLOUD_AMT_202106,CLOUD_AMT_202107,CLOUD_AMT_202108,CLOUD_AMT_202109,CLOUD_AMT_202110,CLOUD_AMT_202111,CLOUD_AMT_202112,CLOUD_AMT_202113,CLOUD_AMT_202201,CLOUD_AMT_202202,CLOUD_AMT_202203,CLOUD_AMT_202204,CLOUD_AMT_202205,CLOUD_AMT_202206,CLOUD_AMT_202207,CLOUD_AMT_202208,CLOUD_AMT_202209,CLOUD_AMT_202210,CLOUD_AMT_202211,CLOUD_AMT_202212,CLOUD_AMT_202213,CLOUD_AMT_202301,CLOUD_AMT_202302,CLOUD_AMT_202303,CLOUD_AMT_202304,CLOUD_AMT_202305,CLOUD_AMT_202306,CLOUD_AMT_202307,CLOUD_AMT_202308,CLOUD_AMT_202309,CLOUD_AMT_202310,CLOUD_AMT_202311,CLOUD_AMT_202312,CLOUD_AMT_202313,PRECTOTCORR_202001,PRECTOTCORR_202002,PRECTOTCORR_202003,PRECTOTCORR_202004,PRECTOTCORR_202005,PRECTOTCORR_202006,PRECTOTCORR_202007,PRECTOTCORR_202008,PRECTOTCORR_202009,PRECTOTCORR_202010,PRECTOTCORR_202011,PRECTOTCORR_202012,PRECTOTCORR_202013,PRECTOTCORR_202101,PRECTOTCORR_202102,PRECTOTCORR_202103,PRECTOTCORR_202104,PRECTOTCORR_202105,PRECTOTCORR_202106,PRECTOTCORR_202107,PRECTOTCORR_202108,PRECTOTCORR_202109,PRECTOTCORR_202110,PRECTOTCORR_202111,PRECTOTCORR_202112,PRECTOTCORR_202113,PRECTOTCORR_202201,PRECTOTCORR_202202,PRECTOTCORR_202203,PRECTOTCORR_202204,PRECTOTCORR_202205,PRECTOTCORR_202206,PRECTOTCORR_202207,PRECTOTCORR_202208,PRECTOTCORR_202209,PRECTOTCORR_202210,PRECTOTCORR_202211,PRECTOTCORR_202212,PRECTOTCORR_202213,PRECTOTCORR_202301,PRECTOTCORR_202302,PRECTOTCORR_202303,PRECTOTCORR_202304,PRECTOTCORR_202305,PRECTOTCORR_202306,PRECTOTCORR_202307,PRECTOTCORR_202308,PRECTOTCORR_202309,PRECTOTCORR_202310,PRECTOTCORR_202311,PRECTOTCORR_202312,PRECTOTCORR_202313
36.0,36.0,7.98,10.52,14.79,21.19,25.84,28.51,28.06,26.06,20.62,16.15,9.6,8.29,18.13,8.76,14.24,16.2,21.18,27.94,29.08,28.44,25.25,20.96,16.1,10.17,7.64,18.83,7.08,11.31,14.72,22.15,25.29,27.99,29.33,23.96,20.95,15.24,9.54,7.62,17.93,8.96,13.55,15.18,20.12,24.88,27.26,28.96,25.02,21.17,15.1,10.55,7.81,18.21,0.46,0.47,0.5,0.59,0.65,0.69,0.69,0.71,0.66,0.66,0.51,0.52,0.61,0.5,0.63,0.55,0.59,0.7,0.7,0.7,0.68,0.67,0.65,0.54,0.48,0.64,0.4,0.5,0.5,0.62,0.63,0.67,0.72,0.65,0.67,0.62,0.51,0.48,0.61,0.51,0.6,0.52,0.57,0.62,0.66,0.71,0.68,0.67,0.61,0.56,0.49,0.62,56.81,57.07,52.79,44.85,33.86,22.13,16.73,12.53,17.79,22.65,43.27,43.91,35.37,55.89,32.42,47.92,50.12,24.33,13.85,11.22,14.78,16.64,20.91,39.88,54.49,31.87,65.35,49.79,59.64,41.37,31.4,22.28,10.79,19.82,18.42,28.31,48.19,43.98,36.61,41.11,32.61,60.63,51.44,39.55,27.52,11.87,16.77,14.33,33.39,41.51,48.19,34.91,3.83,2.35,2.94,1.41,0.88,0.28,0.0,0.16,0.1,0.0,1.46,4.26,1.47,6.17,1.53,2.44,1.31,0.01,0.01,0.01,0.16,1.09,0.9,1.01,4.58,1.6,4.33,3.14,3.46,0.2,1.53,0.8,0.0,0.47,0.39,0.61,2.98,1.29,1.6,1.92,2.69,1.94,1.61,0.61,0.35,0.01,0.36,0.46,1.8,1.79,3.6,1.43
37.0,29.0,9.41,10.76,15.84,20.68,24.01,26.68,28.91,25.39,20.73,14.84,11.13,7.56,18.0,7.45,13.4,15.05,20.41,27.4,25.89,28.21,26.1,20.0,15.42,10.39,7.19,18.07,7.98,11.62,14.12,21.59,24.45,25.47,29.55,23.68,21.6,15.09,10.21,8.4,17.81,9.37,12.5,14.68,18.1,19.2,24.34,29.2,25.5,20.45,15.2,9.16,7.83,17.13,0.56,0.49,0.55,0.58,0.6,0.64,0.71,0.69,0.67,0.62,0.62,0.49,0.62,0.44,0.61,0.52,0.58,0.69,0.62,0.7,0.71,0.65,0.64,0.57,0.47,0.62,0.47,0.53,0.49,0.61,0.61,0.61,0.73,0.64,0.7,0.62,0.56,0.55,0.61,0.56,0.57,0.51,0.51,0.48,0.59,0.72,0.69,0.66,0.63,0.5,0.51,0.59,44.22,60.77,58.97,55.67,43.95,32.06,11.1,12.42,15.14,33.52,30.16,54.56,37.71,72.17,41.58,56.81,59.16,32.84,32.46,14.12,8.67,21.93,24.89,46.24,62.45,39.44,59.69,63.28,61.28,45.82,41.59,38.36,7.81,23.19,12.41,26.21,43.08,48.64,39.28,43.83,41.66,62.77,67.17,69.33,41.17,7.83,13.24,24.76,30.46,52.2,54.31,42.39,2.84,3.71,1.58,1.25,1.14,0.58,0.05,0.19,0.26,1.56,1.33,5.57,1.67,4.49,0.93,2.29,0.27,0.04,0.65,0.08,0.0,0.25,1.2,2.78,9.01,1.83,7.87,4.55,2.81,0.49,0.35,1.07,0.03,0.31,0.08,1.49,3.38,3.42,2.15,4.68,0.9,2.26,2.19,2.66,1.37,0.03,0.05,0.51,0.54,6.13,4.43,2.15
37.0,30.0,9.24,10.0,15.92,20.42,23.84,26.69,29.06,25.4,20.77,14.6,10.97,7.12,17.83,7.0,13.01,15.33,20.18,26.82,26.21,28.08,25.86,19.92,15.37,10.35,6.53,17.89,7.93,10.63,15.18,21.4,24.48,25.27,29.23,24.15,21.51,15.01,10.1,8.3,17.77,9.33,12.84,14.09,18.09,18.84,24.1,29.28,25.46,20.55,15.39,9.1,7.78,17.07,0.55,0.45,0.55,0.58,0.6,0.64,0.72,0.69,0.67,0.61,0.61,0.47,0.61,0.41,0.59,0.53,0.57,0.67,0.63,0.69,0.7,0.64,0.64,0.57,0.43,0.61,0.47,0.48,0.52,0.6,0.62,0.61,0.72,0.66,0.69,0.62,0.56,0.54,0.61,0.55,0.58,0.49,0.51,0.47,0.58,0.72,0.69,0.66,0.64,0.5,0.51,0.58,47.94,64.45,60.13,55.03,44.38,35.76,10.09,12.56,14.72,36.2,29.7,58.55,39.13,73.82,43.97,56.99,61.58,34.75,33.86,15.41,9.47,23.68,25.47,45.3,67.13,40.95,59.59,62.27,60.27,48.39,39.65,41.36,8.29,20.91,13.54,29.07,44.76,47.7,39.65,41.4,42.17,65.77,67.77,70.15,42.35,7.38,12.78,24.74,29.31,55.51,53.5,42.74,2.76,3.17,1.42,0.86,1.52,0.6,0.04,0.28,0.11,1.29,1.29,7.71,1.75,4.71,0.73,1.93,0.21,0.12,1.52,0.09,0.02,0.33,0.54,2.82,7.36,1.7,6.3,4.6,1.85,0.39,0.52,1.06,0.07,0.21,0.1,0.99,3.39,4.06,1.96,4.6,0.6,2.79,1.89,3.99,1.21,0.04,0.02,0.5,0.52,4.0,3.45,1.97
37.0,31.0,7.9,9.71,14.41,19.7,25.3,27.35,29.45,25.68,20.97,15.01,10.29,7.34,17.76,7.39,12.41,14.66,20.39,27.44,25.79,28.04,25.68,19.62,15.7,10.27,6.73,17.84,7.81,10.54,14.41,21.97,24.26,24.75,29.23,24.24,21.91,14.32,10.19,8.06,17.64,9.61,12.35,14.11,18.52,19.73,24.32,29.28,25.71,20.52,15.31,9.23,8.04,17.23,0.47,0.44,0.5,0.56,0.64,0.66,0.73,0.7,0.68,0.62,0.57,0.48,0.61,0.44,0.56,0.51,0.58,0.69,0.62,0.69,0.7,0.63,0.65,0.57,0.44,0.61,0.46,0.48,0.5,0.62,0.61,0.6,0.72,0.66,0.71,0.59,0.56,0.53,0.6,0.57,0.56,0.49,0.52,0.5,0.59,0.72,0.7,0.66,0.63,0.51,0.53,0.59,58.33,63.6,60.3,52.17,36.04,28.21,7.24,11.53,12.0,29.81,33.17,50.45,36.9,65.17,43.24,55.81,58.04,25.79,31.86,15.13,10.26,21.49,21.64,39.4,62.09,37.49,61.61,65.71,67.23,42.58,37.39,37.66,8.67,16.83,13.84,31.2,38.55,41.84,38.59,38.32,43.42,61.43,60.61,62.09,38.87,7.32,10.69,19.27,26.09,46.22,46.62,38.41,4.17,3.84,1.48,0.91,2.66,0.45,0.03,0.22,0.12,1.23,1.68,7.17,2.0,5.23,0.86,2.38,0.46,0.1,1.37,0.17,0.05,0.26,0.59,3.07,6.23,1.73,8.64,5.59,1.94,0.31,0.41,0.92,0.06,0.19,0.16,0.99,4.02,4.03,2.27,4.44,0.9,3.33,2.28,3.88,0.96,0.06,0.02,0.53,0.75,3.87,4.43,2.12
37.0,32.0,7.86,10.83,14.52,19.22,25.82,27.58,29.56,26.31,21.07,15.56,9.85,7.97,18.01,7.88,12.49,14.56,19.43,27.34,26.24,28.11,25.26,19.46,15.82,10.36,7.3,17.86,8.04,10.9,12.94,22.62,23.61,25.23,28.96,24.89,22.04,13.9,10.59,7.99,17.64,9.9,10.84,14.97,19.31,20.93,24.33,29.01,25.87,20.96,15.06,10.13,8.74,17.5,0.47,0.49,0.5,0.54,0.65,0.66,0.73,0.72,0.68,0.65,0.54,0.52,0.62,0.47,0.56,0.5,0.55,0.69,0.63,0.69,0.69,0.63,0.66,0.57,0.48,0.61,0.48,0.49,0.45,0.64,0.59,0.61,0.72,0.68,0.71,0.58,0.58,0.52,0.6,0.59,0.49,0.52,0.55,0.53,0.59,0.72,0.7,0.67,0.62,0.56,0.57,0.6,73.48,64.34,66.1,61.35,41.04,33.12,7.99,12.49,15.11,32.22,44.62,57.46,42.44,70.29,44.6,61.55,68.02,33.9,38.59,19.72,15.78,30.07,26.45,47.1,66.91,43.58,71.62,75.69,73.17,44.67,44.89,41.59,12.32,16.99,18.26,42.69,44.57,54.56,45.09,42.67,62.24,64.4,66.81,64.9,46.96,11.46,15.83,22.3,36.94,49.57,50.05,44.51,5.36,4.55,1.61,1.06,3.12,0.26,0.02,0.09,0.15,0.62,2.24,5.39,2.04,5.42,1.01,2.95,0.75,0.04,0.69,0.29,0.07,0.29,0.62,2.82,5.96,1.74,10.13,5.59,2.02,0.23,0.37,0.73,0.05,0.09,0.19,1.07,4.36,3.77,2.38,3.24,1.45,3.29,2.56,2.62,0.86,0.09,0.01,0.41,1.01,4.03,5.02,2.05
37.0,33.0,7.38,10.95,14.67,20.07,26.5,28.53,29.87,26.8,21.38,16.13,10.16,8.19,18.39,8.13,12.94,15.52,19.18,27.33,28.24,29.12,25.59,20.41,16.38,10.55,7.79,18.43,7.67,11.2,13.8,22.69,24.33,26.64,29.83,25.67,22.46,14.63,10.61,7.68,18.1,9.61,11.18,15.1,20.52,22.99,25.66,29.15,26.13,21.45,15.37,10.12,8.84,18.01,0.44,0.5,0.51,0.57,0.67,0.69,0.74,0.73,0.69,0.67,0.56,0.54,0.63,0.48,0.58,0.54,0.54,0.69,0.68,0.72,0.7,0.66,0.68,0.58,0.51,0.63,0.45,0.51,0.48,0.64,0.61,0.64,0.74,0.7,0.72,0.61,0.58,0.5,0.62,0.57,0.51,0.52,0.58,0.58,0.62,0.72,0.71,0.69,0.63,0.56,0.58,0.62,73.27,64.69,63.95,57.92,37.08,26.17,4.76,9.15,12.89,28.65,40.41,51.12,39.17,66.95,41.71,58.09,66.09,33.71,26.96,12.85,14.44,23.87,21.79,45.13,63.72,39.61,69.41,75.07,67.83,44.14,41.13,34.56,7.86,9.83,15.85,37.78,44.4,54.14,41.83,42.28,66.09,62.38,64.06,56.89,42.98,11.43,14.25,22.34,34.87,48.0,47.96,42.79,4.39,3.53,1.42,0.82,1.57,0.23,0.01,0.01,0.2,0.04,2.27,2.59,1.42,3.9,0.88,2.42,0.82,0.06,0.32,0.23,0.16,0.49,0.23,1.78,4.59,1.32,7.23,3.47,1.65,0.34,0.51,0.61,0.05,0.02,0.22,0.86,2.48,1.71,1.6,1.32,1.48,2.4,1.56,1.72,0.93,0.07,0.04,0.16,0.95,3.12,4.1,1.49
37.0,34.0,6.7,9.22,12.84,18.53,24.82,27.21,29.03,26.43,20.94,16.14,10.27,8.36,17.54,8.19,12.04,14.05,18.58,26.65,26.7,28.28,24.55,19.87,16.31,10.09,7.59,17.74,6.85,9.54,12.96,21.2,22.35,24.75,29.73,24.2,21.87,14.43,10.01,8.06,17.16,9.71,11.37,13.45,18.42,21.05,24.37,29.17,25.72,21.13,14.96,10.1,8.48,17.33,0.4,0.42,0.44,0.52,0.62,0.66,0.72,0.72,0.68,0.67,0.57,0.55,0.6,0.48,0.54,0.48,0.52,0.67,0.64,0.7,0.67,0.64,0.68,0.56,0.5,0.61,0.41,0.43,0.45,0.6,0.56,0.6,0.73,0.66,0.7,0.6,0.55,0.53,0.59,0.58,0.52,0.47,0.52,0.53,0.59,0.72,0.7,0.68,0.62,0.55,0.55,0.59,60.24,67.24,66.91,61.12,42.21,32.95,12.96,11.59,18.35,27.32,37.61,42.28,40.07,65.67,43.94,60.26,66.49,34.31,33.52,17.87,20.92,26.06,22.61,43.22,55.64,40.88,61.78,67.86,69.47,50.27,47.9,41.4,12.0,17.78,18.16,36.47,46.79,44.95,42.9,37.0,51.87,69.2,70.92,56.44,45.73,13.39,14.39,22.14,34.25,46.18,47.08,42.38,4.1,3.13,1.47,0.71,1.06,0.27,0.01,0.01,0.21,0.03,1.87,2.07,1.25,3.33,0.79,2.17,0.87,0.1,0.31,0.16,0.28,0.62,0.1,1.46,3.93,1.18,5.98,2.77,1.53,0.38,0.55,0.65,0.03,0.01,0.22,0.78,1.87,1.12,1.32,0.78,1.28,2.11,1.22,1.77,0.94,0.06,0.07,0.14,0.85,2.79,3.42,1.29
37.0,35.0,7.86,9.48,13.15,19.2,23.55,25.94,27.67,25.77,19.92,15.58,9.99,7.99,17.17,8.26,12.88,14.69,18.67,25.7,26.04,27.52,24.56,19.84,15.73,9.48,7.04,17.54,6.99,10.14,14.31,20.57,22.68,24.18,29.11,23.18,20.7,14.34,9.45,7.7,16.94,9.22,12.05,13.16,17.69,22.61,23.63,28.58,24.81,20.74,14.66,9.67,7.9,17.06,0.47,0.43,0.45,0.54,0.59,0.62,0.68,0.7,0.64,0.65,0.55,0.52,0.59,0.49,0.58,0.51,0.53,0.65,0.63,0.68,0.67,0.64,0.65,0.52,0.46,0.6,0.41,0.46,0.49,0.58,0.57,0.58,0.72,0.63,0.67,0.59,0.52,0.5,0.58,0.55,0.55,0.46,0.5,0.57,0.57,0.71,0.67,0.67,0.6,0.53,0.52,0.58,56.4,66.77,67.81,61.43,47.31,43.06,26.64,21.84,28.72,31.4,41.81,46.29,44.96,65.25,44.43,58.65,67.51,39.02,41.91,27.26,25.98,30.67,30.82,51.72,59.27,45.21,67.51,63.79,63.45,52.03,48.29,50.5,20.2,34.52,24.38,39.34,54.99,50.63,47.47,43.65,47.72,76.49,72.03,56.71,53.08,22.94,26.68,26.57,40.63,50.36,51.54,47.37,4.86,3.84,1.7,0.69,1.63,0.53,0.01,0.04,0.06,0.0,1.5,1.48,1.36,3.94,1.18,1.83,1.27,0.17,0.18,0.15,0.5,0.85,0.1,1.47,4.71,1.36,6.58,2.78,2.5,0.21,0.46,0.88,0.0,0.05,0.27,0.58,2.25,0.98,1.46,0.51,1.62,2.45,1.83,1.73,0.71,0.23,0.17,0.39,1.02,2.67,2.8,1.34
37.0,36.0,7.9,9.48,13.34,19.49,24.22,27.08,27.93,26.1,20.26,15.95,9.86,7.92,17.46,8.12,13.02,14.66,19.62,27.07,27.68,28.27,24.84,20.61,15.7,9.37,7.26,18.02,6.61,10.45,13.85,21.14,23.44,25.97,29.42,23.89,20.99,14.74,8.95,7.53,17.25,9.1,12.26,12.42,17.5,23.53,25.49,28.99,25.28,21.33,14.65,9.77,7.67,17.33,0.47,0.43,0.46,0.55,0.61,0.65,0.69,0.71,0.66,0.66,0.55,0.52,0.6,0.48,0.59,0.51,0.55,0.68,0.67,0.7,0.68,0.67,0.65,0.52,0.48,0.62,0.39,0.47,0.48,0.6,0.59,0.63,0.73,0.65,0.68,0.61,0.49,0.49,0.59,0.54,0.56,0.43,0.49,0.59,0.61,0.72,0.69,0.69,0.6,0.54,0.5,0.59,59.26,69.28,67.05,60.57,48.37,44.36,28.84,23.37,31.85,31.93,43.97,47.06,46.33,66.28,45.33,61.5,65.37,38.26,37.48,24.66,27.32,30.1,32.09,51.92,60.77,45.09,71.15,62.67,67.18,52.96,47.7,45.28,20.24,34.23,29.94,40.84,56.21,53.24,48.47,41.56,50.17,81.44,73.53,55.45,49.43,24.02,30.57,28.19,44.46,52.72,53.26,48.73,2.65,2.71,3.29,1.54,1.34,0.45,0.0,0.18,0.12,0.0,2.04,1.94,1.36,5.35,1.12,2.33,1.04,0.05,0.03,0.07,0.22,1.27,0.26,0.96,3.4,1.34,4.6,1.6,3.89,0.23,0.89,0.95,0.0,0.58,0.5,0.4,2.59,0.94,1.43,1.18,1.69,3.27,1.27,1.08,0.58,0.09,0.41,0.66,1.4,2.13,2.39,1.35
37.0,37.0,7.74,9.46,13.99,20.02,25.03,28.96,28.27,26.82,20.47,16.02,9.45,7.57,17.82,7.84,12.91,15.35,20.52,28.06,29.56,28.48,24.64,21.21,15.59,9.51,7.23,18.41,6.05,10.56,13.85,21.47,24.15,27.75,29.88,25.42,21.14,14.82,8.36,7.56,17.58,8.71,12.38,13.15,18.75,24.19,27.36,29.72,25.83,21.57,14.36,9.64,7.45,17.76,0.46,0.43,0.48,0.56,0.63,0.7,0.7,0.73,0.66,0.67,0.52,0.5,0.61,0.46,0.58,0.53,0.58,0.71,0.71,0.7,0.67,0.69,0.65,0.52,0.47,0.63,0.36,0.48,0.48,0.61,0.61,0.67,0.74,0.69,0.68,0.61,0.46,0.49,0.6,0.52,0.56,0.46,0.53,0.61,0.66,0.73,0.7,0.69,0.59,0.53,0.49,0.61,61.5,70.82,61.69,55.69,43.79,21.84,15.61,7.51,21.69,25.98,44.91,49.13,40.01,66.48,45.49,55.52,58.4,31.65,16.14,11.52,21.67,18.93,30.17,48.71,60.37,38.75,74.08,61.44,66.72,47.97,43.76,25.4,7.64,8.99,22.17,38.18,56.71,52.61,42.14,43.7,45.65,77.17,65.91,47.89,31.51,9.77,13.97,17.56,45.35,51.1,54.87,42.04,2.23,2.12,3.34,1.54,0.95,0.28,0.0,0.12,0.08,0.0,2.18,2.51,1.28,4.88,0.81,1.99,0.7,0.05,0.01,0.03,0.18,0.85,0.21,0.73,2.5,1.08,3.36,1.2,3.56,0.31,1.02,0.67,0.0,0.41,0.33,0.38,2.53,0.96,1.23,1.17,1.69,3.2,1.04,0.72,0.38,0.04,0.28,0.49,1.03,2.09,2.13,1.19
