lat,lon,score_202001,score_202002,score_202003,score_202004,score_202005,score_202006,score_202007,score_202008,score_202009,score_202010,score_202011,score_202012,score_202101,score_202102,score_202103,score_202104,score_202105,score_202106,score_202107,score_202108,score_202109,score_202110,score_202111,score_202112,score_202201,score_202202,score_202203,score_202204,score_202205,score_202206,score_202207,score_202208,score_202209,score_202210,score_202211,score_202212,score_202301,score_202302,score_202303,score_202304,score_202305,score_202306,score_202307,score_202308,score_202309,score_202310,score_202311,score_202312,avg_score
36.0,36.0,0.35843,0.33235,0.55479,0.9079,0.96849,0.94371,0.85389,0.88153,0.80823,0.98238,0.59405,0.86698,0.59045,0.95662,0.60542,0.87781,1.0562,0.83108,0.99657,0.94434,0.9063,1.01487,0.90803,0.66869,0.26166,0.39474,0.37038,0.97924,0.82119,0.97778,0.97429,0.62216,0.82219,0.92934,0.62377,0.6839,0.70049,0.84014,0.83802,1.00646,1.07559,0.97345,0.9281,0.77044,0.87973,0.87525,1.07718,0.63379,0.80142
37.0,29.0,0.80911,0.31416,0.86403,0.76615,0.63321,0.58837,0.96213,0.78284,0.83869,0.59796,0.99368,0.64544,0.26617,0.82025,0.40088,0.8018,0.92697,0.42425,0.9623,1.08881,0.82284,0.91562,0.85061,0.42318,0.41698,0.32363,0.32374,0.84164,0.70729,0.66196,1.00386,0.57802,0.96896,0.89102,0.85042,0.81233,0.69184,0.72278,0.74468,0.55919,0.14451,0.50585,0.98515,0.89682,0.7425,0.98067,0.56564,0.5981,0.70869
37.0,30.0,0.75674,0.15538,0.87785,0.76026,0.58842,0.57179,0.9905,0.77787,0.8622,0.55719,0.96147,0.48342,0.14864,0.74843,0.46506,0.75243,0.80686,0.40791,0.93124,1.04983,0.8005,0.92711,0.84583,0.26631,0.44243,0.16266,0.48545,0.79959,0.72848,0.63811,0.96849,0.68005,0.94001,0.88871,0.8221,0.74972,0.69093,0.77746,0.61521,0.56947,0.03672,0.47096,0.99515,0.89671,0.75529,1.03561,0.59086,0.63647,0.68479
37.0,31.0,0.33663,0.07619,0.50352,0.64729,0.76904,0.7234,1.04389,0.82793,0.92257,0.65938,0.79305,0.57619,0.28149,0.63652,0.34564,0.79271,0.96493,0.38114,0.92417,1.02941,0.77563,0.98193,0.84601,0.37278,0.35631,0.09368,0.3624,0.93979,0.70338,0.604,0.96833,0.70524,1.00853,0.76742,0.84218,0.71729,0.77655,0.69096,0.61752,0.65768,0.20091,0.52919,0.99417,0.95447,0.76655,1.00979,0.67908,0.70898,0.6847
37.0,32.0,0.22207,0.26894,0.48231,0.4833,0.78608,0.73614,1.05163,0.92586,0.92294,0.80468,0.63891,0.72904,0.35211,0.63421,0.25531,0.56663,0.9142,0.43898,0.91054,0.96101,0.74,0.98504,0.83839,0.49321,0.3236,0.08296,0.15438,1.04433,0.54568,0.64551,0.942,0.8196,1.00503,0.66982,0.91589,0.64262,0.86634,0.37815,0.74355,0.7425,0.38959,0.50466,0.9471,0.95772,0.83302,0.89788,0.90916,0.8575,0.68667
37.0,33.0,0.14444,0.34086,0.55065,0.68177,1.00923,0.93001,1.0994,1.00632,0.99421,0.96382,0.72082,0.88598,0.46184,0.73042,0.46193,0.53124,0.91259,0.6921,1.07313,1.00374,0.85216,1.08765,0.96439,0.66693,0.31306,0.2208,0.29733,1.04333,0.68348,0.81096,1.03,0.96961,1.07261,0.81073,0.99123,0.65859,0.87969,0.42047,0.80262,0.99327,0.71934,0.68479,0.96407,1.01162,0.93782,0.97733,0.9369,0.94353,0.79039
37.0,34.0,0.04482,-0.01037,0.06166,0.3817,0.76328,0.6945,0.98198,0.94606,0.88407,0.97191,0.76959,0.97381,0.49394,0.56801,0.22974,0.43137,0.79042,0.51852,0.95331,0.8429,0.78239,1.08145,0.88083,0.68934,0.22197,0.01859,0.19141,0.76714,0.30345,0.6015,1.00416,0.71409,0.97165,0.7824,0.83493,0.84988,0.95416,0.50497,0.52487,0.63699,0.47912,0.50962,0.95976,0.93714,0.88595,0.89768,0.9323,0.86503,0.66821
37.0,35.0,0.30995,0.01253,0.12211,0.5025,0.5213,0.42147,0.78124,0.8141,0.62204,0.85197,0.70175,0.88764,0.50218,0.69855,0.36676,0.42166,0.61215,0.44129,0.82459,0.81808,0.76165,0.96475,0.66401,0.50405,0.1993,0.14375,0.34163,0.67035,0.3673,0.50006,0.9348,0.49242,0.77732,0.75774,0.62365,0.71546,0.82494,0.61117,0.42985,0.4857,0.67245,0.39359,0.83218,0.71127,0.79455,0.78002,0.80288,0.7136,0.59801
37.0,36.0,0.39349,0.04719,0.1143,0.51174,0.63741,0.6018,0.81005,0.84851,0.69633,0.91313,0.66029,0.86108,0.42673,0.72657,0.31673,0.58177,0.84056,0.62375,0.93627,0.86921,0.8391,0.95267,0.67604,0.58543,0.1456,0.24089,0.22336,0.7614,0.47098,0.70489,0.96464,0.55746,0.79389,0.82843,0.4554,0.65757,0.78057,0.63323,0.24905,0.46746,0.81604,0.64497,0.89912,0.7679,0.87411,0.75076,0.8404,0.64895,0.63848
37.0,37.0,0.36228,0.06109,0.30112,0.62829,0.80101,1.01378,0.88696,1.00702,0.7721,0.96405,0.55833,0.76411,0.37315,0.71482,0.47187,0.78746,1.04633,0.86909,0.9984,0.85467,0.945,0.95044,0.73176,0.5919,0.04468,0.28634,0.23753,0.83537,0.60929,0.95461,1.03817,0.89229,0.84523,0.84635,0.28844,0.66513,0.69011,0.66165,0.39636,0.72946,0.95475,0.96699,1.05234,0.92923,0.94637,0.69294,0.80806,0.59512,0.71712
