lat,lon,date,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
40.82,29.29,202301,6.73,0.45,56.98,0.72
40.82,29.29,202302,8.7,0.43,66.77,2.53
40.82,29.29,202303,10.69,0.39,72.05,2.88
40.82,29.29,202304,15.35,0.44,75.0,3.03
40.82,29.29,202305,17.06,0.43,74.09,1.35
40.82,29.29,202306,23.35,0.56,47.38,1.56
40.82,29.29,202307,26.73,0.66,18.66,0.79
40.82,29.29,202308,22.12,0.61,31.2,0.51
40.82,29.29,202309,18.22,0.61,35.25,0.89
40.82,29.29,202310,12.45,0.55,41.71,1.83
40.82,29.29,202311,6.56,0.4,66.79,6.97
40.82,29.29,202312,6.1,0.45,61.16,2.45
40.82,29.32,202301,6.73,0.45,56.98,0.72
40.82,29.32,202302,8.7,0.43,66.77,2.53
40.82,29.32,202303,10.69,0.39,72.05,2.88
40.82,29.32,202304,15.35,0.44,75.0,3.03
40.82,29.32,202305,17.06,0.43,74.09,1.35
40.82,29.32,202306,23.35,0.56,47.38,1.56
40.82,29.32,202307,26.73,0.66,18.66,0.79
40.82,29.32,202308,22.12,0.61,31.2,0.51
40.82,29.32,202309,18.22,0.61,35.25,0.89
40.82,29.32,202310,12.45,0.55,41.71,1.83
40.82,29.32,202311,6.56,0.4,66.79,6.97
40.82,29.32,202312,6.1,0.45,61.16,2.45
40.84,29.29,202301,6.73,0.45,56.98,0.72
40.84,29.29,202302,8.7,0.43,66.77,2.53
40.84,29.29,202303,10.69,0.39,72.05,2.88
40.84,29.29,202304,15.35,0.44,75.0,3.03
40.84,29.29,202305,17.06,0.43,74.09,1.35
40.84,29.29,202306,23.35,0.56,47.38,1.56
40.84,29.29,202307,26.73,0.66,18.66,0.79
40.84,29.29,202308,22.12,0.61,31.2,0.51
40.84,29.29,202309,18.22,0.61,35.25,0.89
40.84,29.29,202310,12.45,0.55,41.71,1.83
40.84,29.29,202311,6.56,0.4,66.79,6.97
40.84,29.29,202312,6.1,0.45,61.16,2.45
40.84,29.32,202301,6.73,0.45,56.98,0.72
40.84,29.32,202302,8.7,0.43,66.77,2.53
40.84,29.32,202303,10.69,0.39,72.05,2.88
40.84,29.32,202304,15.35,0.44,75.0,3.03
40.84,29.32,202305,17.06,0.43,74.09,1.35
40.84,29.32,202306,23.35,0.56,47.38,1.56
40.84,29.32,202307,26.73,0.66,18.66,0.79
40.84,29.32,202308,22.12,0.61,31.2,0.51
40.84,29.32,202309,18.22,0.61,35.25,0.89
40.84,29.32,202310,12.45,0.55,41.71,1.83
40.84,29.32,202311,6.56,0.4,66.79,6.97
40.84,29.32,202312,6.1,0.45,61.16,2.45
40.84,29.35,202301,6.73,0.45,56.98,0.72
40.84,29.35,202302,8.7,0.43,66.77,2.53
40.84,29.35,202303,10.69,0.39,72.05,2.88
40.84,29.35,202304,15.35,0.44,75.0,3.03
