lat,lon,date,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN_norm,CLOUD_AMT_norm,PRECTOTCORR_norm
40.82,29.29,202301,6.73,0.45,56.98,0.72,0.00391,0.00863,0.00258
40.82,29.29,202302,8.7,0.43,66.77,2.53,0.00506,0.01011,0.00906
40.82,29.29,202303,10.69,0.39,72.05,2.88,0.00622,0.01091,0.01031
40.82,29.29,202304,15.35,0.44,75.0,3.03,0.00893,0.01135,0.01085
40.82,29.29,202305,17.06,0.43,74.09,1.35,0.00992,0.01122,0.00483
40.82,29.29,202306,23.35,0.56,47.38,1.56,0.01358,0.00717,0.00559
40.82,29.29,202307,26.73,0.66,18.66,0.79,0.01555,0.00283,0.00283
40.82,29.29,202308,22.12,0.61,31.2,0.51,0.01287,0.00472,0.00183
40.82,29.29,202309,18.22,0.61,35.25,0.89,0.0106,0.00534,0.00319
40.82,29.29,202310,12.45,0.55,41.71,1.83,0.00724,0.00631,0.00655
40.82,29.29,202311,6.56,0.4,66.79,6.97,0.00382,0.01011,0.02496
40.82,29.29,202312,6.1,0.45,61.16,2.45,0.00355,0.00926,0.00877
40.82,29.32,202301,6.73,0.45,56.98,0.72,0.00391,0.00863,0.00258
40.82,29.32,202302,8.7,0.43,66.77,2.53,0.00506,0.01011,0.00906
40.82,29.32,202303,10.69,0.39,72.05,2.88,0.00622,0.01091,0.01031
40.82,29.32,202304,15.35,0.44,75.0,3.03,0.00893,0.01135,0.01085
40.82,29.32,202305,17.06,0.43,74.09,1.35,0.00992,0.01122,0.00483
40.82,29.32,202306,23.35,0.56,47.38,1.56,0.01358,0.00717,0.00559
40.82,29.32,202307,26.73,0.66,18.66,0.79,0.01555,0.00283,0.00283
40.82,29.32,202308,22.12,0.61,31.2,0.51,0.01287,0.00472,0.00183
40.82,29.32,202309,18.22,0.61,35.25,0.89,0.0106,0.00534,0.00319
40.82,29.32,202310,12.45,0.55,41.71,1.83,0.00724,0.00631,0.00655
40.82,29.32,202311,6.56,0.4,66.79,6.97,0.00382,0.01011,0.02496
40.82,29.32,202312,6.1,0.45,61.16,2.45,0.00355,0.00926,0.00877
40.84,29.29,202301,6.73,0.45,56.98,0.72,0.00391,0.00863,0.00258
40.84,29.29,202302,8.7,0.43,66.77,2.53,0.00506,0.01011,0.00906
40.84,29.29,202303,10.69,0.39,72.05,2.88,0.00622,0.01091,0.01031
40.84,29.29,202304,15.35,0.44,75.0,3.03,0.00893,0.01135,0.01085
40.84,29.29,202305,17.06,0.43,74.09,1.35,0.00992,0.01122,0.00483
40.84,29.29,202306,23.35,0.56,47.38,1.56,0.01358,0.00717,0.00559
40.84,29.29,202307,26.73,0.66,18.66,0.79,0.01555,0.00283,0.00283
40.84,29.29,202308,22.12,0.61,31.2,0.51,0.01287,0.00472,0.00183
40.84,29.29,202309,18.22,0.61,35.25,0.89,0.0106,0.00534,0.00319
40.84,29.29,202310,12.45,0.55,41.71,1.83,0.00724,0.00631,0.00655
40.84,29.29,202311,6.56,0.4,66.79,6.97,0.00382,0.01011,0.02496
40.84,29.29,202312,6.1,0.45,61.16,2.45,0.00355,0.00926,0.00877
40.84,29.32,202301,6.73,0.45,56.98,0.72,0.00391,0.00863,0.00258
40.84,29.32,202302,8.7,0.43,66.77,2.53,0.00506,0.01011,0.00906
