lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
40.82,29.29,0.0391,0.45,0.0863,0.0258
40.82,29.29,0.0506,0.43,0.1011,0.0906
40.82,29.29,0.0622,0.39,0.1091,0.1031
40.82,29.29,0.0893,0.44,0.1135,0.1085
40.82,29.29,0.0992,0.43,0.1122,0.0483
40.82,29.29,0.1358,0.56,0.0717,0.0559
40.82,29.29,0.1555,0.66,0.0283,0.0283
40.82,29.29,0.1287,0.61,0.0472,0.0183
40.82,29.29,0.106,0.61,0.0534,0.0319
40.82,29.29,0.0724,0.55,0.0631,0.0655
40.82,29.29,0.0382,0.4,0.1011,0.2496
40.82,29.29,0.0355,0.45,0.0926,0.0877
40.82,29.32,0.0391,0.45,0.0863,0.0258
40.82,29.32,0.0506,0.43,0.1011,0.0906
40.82,29.32,0.0622,0.39,0.1091,0.1031
40.82,29.32,0.0893,0.44,0.1135,0.1085
40.82,29.32,0.0992,0.43,0.1122,0.0483
40.82,29.32,0.1358,0.56,0.0717,0.0559
40.82,29.32,0.1555,0.66,0.0283,0.0283
40.82,29.32,0.1287,0.61,0.0472,0.0183
40.82,29.32,0.106,0.61,0.0534,0.0319
40.82,29.32,0.0724,0.55,0.0631,0.0655
40.82,29.32,0.0382,0.4,0.1011,0.2496
40.82,29.32,0.0355,0.45,0.0926,0.0877
40.84,29.29,0.0391,0.45,0.0863,0.0258
40.84,29.29,0.0506,0.43,0.1011,0.0906
40.84,29.29,0.0622,0.39,0.1091,0.1031
40.84,29.29,0.0893,0.44,0.1135,0.1085
40.84,29.29,0.0992,0.43,0.1122,0.0483
40.84,29.29,0.1358,0.56,0.0717,0.0559
40.84,29.29,0.1555,0.66,0.0283,0.0283
40.84,29.29,0.1287,0.61,0.0472,0.0183
40.84,29.29,0.106,0.61,0.0534,0.0319
40.84,29.29,0.0724,0.55,0.0631,0.0655
40.84,29.29,0.0382,0.4,0.1011,0.2496
40.84,29.29,0.0355,0.45,0.0926,0.0877
40.84,29.32,0.0391,0.45,0.0863,0.0258
40.84,29.32,0.0506,0.43,0.1011,0.0906
40.84,29.32,0.0622,0.39,0.1091,0.1031
40.84,29.32,0.0893,0.44,0.1135,0.1085
40.84,29.32,0.0992,0.43,0.1122,0.0483
40.84,29.32,0.1358,0.56,0.0717,0.0559
40.84,29.32,0.1555,0.66,0.0283,0.0283
40.84,29.32,0.1287,0.61,0.0472,0.0183
40.84,29.32,0.106,0.61,0.0534,0.0319
40.84,29.32,0.0724,0.55,0.0631,0.0655
40.84,29.32,0.0382,0.4,0.1011,0.2496
40.84,29.32,0.0355,0.45,0.0926,0.0877
40.84,29.35,0.0391,0.45,0.0863,0.0258
40.84,29.35,0.0506,0.43,0.1011,0.0906
40.84,29.35,0.0622,0.39,0.1091,0.1031
