lat,lon,date,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
40.82,29.29,202013,15.53,0.55,48.39,1.57
40.82,29.29,202113,15.08,0.54,51.58,2.05
40.82,29.29,202213,15.27,0.54,48.95,1.69
40.82,29.29,202313,14.5,0.51,53.92,2.13
40.82,29.32,202013,15.53,0.55,48.39,1.57
40.82,29.32,202113,15.08,0.54,51.58,2.05
40.82,29.32,202213,15.27,0.54,48.95,1.69
40.82,29.32,202313,14.5,0.51,53.92,2.13
40.84,29.29,202013,15.53,0.55,48.39,1.57
40.84,29.29,202113,15.08,0.54,51.58,2.05
40.84,29.29,202213,15.27,0.54,48.95,1.69
40.84,29.29,202313,14.5,0.51,53.92,2.13
40.84,29.32,202013,15.53,0.55,48.39,1.57
40.84,29.32,202113,15.08,0.54,51.58,2.05
40.84,29.32,202213,15.27,0.54,48.95,1.69
40.84,29.32,202313,14.5,0.51,53.92,2.13
40.84,29.35,202013,15.53,0.55,48.39,1.57
40.84,29.35,202113,15.08,0.54,51.58,2.05
40.84,29.35,202213,15.27,0.54,48.95,1.69
40.84,29.35,202313,14.5,0.51,53.92,2.13
40.86,29.26,202013,15.53,0.55,48.39,1.57
40.86,29.26,202113,15.08,0.54,51.58,2.05
40.86,29.26,202213,15.27,0.54,48.95,1.69
40.86,29.26,202313,14.5,0.51,53.92,2.13
40.86,29.29,202013,15.53,0.55,48.39,1.57
40.86,29.29,202113,15.08,0.54,51.58,2.05
40.86,29.29,202213,15.27,0.54,48.95,1.69
40.86,29.29,202313,14.5,0.51,53.92,2.13
40.86,29.32,202013,15.53,0.55,48.39,1.57
40.86,29.32,202113,15.08,0.54,51.58,2.05
40.86,29.32,202213,15.27,0.54,48.95,1.69
40.86,29.32,202313,14.5,0.51,53.92,2.13
40.86,29.35,202013,15.53,0.55,48.39,1.57
40.86,29.35,202113,15.08,0.54,51.58,2.05
40.86,29.35,202213,15.27,0.54,48.95,1.69
40.86,29.35,202313,14.5,0.51,53.92,2.13
40.88,29.2,202013,15.53,0.55,48.39,1.57
40.88,29.2,202113,15.08,0.54,51.58,2.05
40.88,29.2,202213,15.27,0.54,48.95,1.69
40.88,29.2,202313,14.5,0.51,53.92,2.13
40.88,29.23,202013,15.53,0.55,48.39,1.57
40.88,29.23,202113,15.08,0.54,51.58,2.05
40.88,29.23,202213,15.27,0.54,48.95,1.69
40.88,29.23,202313,14.5,0.51,53.92,2.13
