lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN_norm,CLOUD_AMT_norm,PRECTOTCORR_norm
40.82,29.29,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.82,29.32,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.84,29.29,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.84,29.32,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.84,29.35,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.86,29.26,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.86,29.29,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.86,29.32,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.86,29.35,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.88,29.2,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.88,29.23,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.88,29.26,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.88,29.29,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.88,29.32,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.88,29.35,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.88,29.38,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.88,29.41,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.9,29.14,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.9,29.17,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.9,29.2,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.9,29.23,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.9,29.26,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.9,29.29,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.9,29.32,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.9,29.35,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.9,29.38,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.9,29.41,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.92,29.14,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.92,29.17,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.92,29.2,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.92,29.23,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.92,29.26,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
