lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
40.82,29.29,0.331,0.535,0.285,0.337
40.82,29.32,0.331,0.535,0.285,0.337
40.84,29.29,0.331,0.535,0.285,0.337
40.84,29.32,0.331,0.535,0.285,0.337
40.84,29.35,0.331,0.535,0.285,0.337
40.86,29.26,0.331,0.535,0.285,0.337
40.86,29.29,0.331,0.535,0.285,0.337
40.86,29.32,0.331,0.535,0.285,0.337
40.86,29.35,0.331,0.535,0.285,0.337
40.88,29.2,0.331,0.535,0.285,0.337
40.88,29.23,0.331,0.535,0.285,0.337
40.88,29.26,0.331,0.535,0.285,0.337
40.88,29.29,0.331,0.535,0.285,0.337
40.88,29.32,0.331,0.535,0.285,0.337
40.88,29.35,0.331,0.535,0.285,0.337
40.88,29.38,0.331,0.535,0.285,0.337
40.88,29.41,0.331,0.535,0.285,0.337
40.9,29.14,0.331,0.535,0.285,0.337
40.9,29.17,0.331,0.535,0.285,0.337
40.9,29.2,0.331,0.535,0.285,0.337
40.9,29.23,0.331,0.535,0.285,0.337
40.9,29.26,0.331,0.535,0.285,0.337
40.9,29.29,0.331,0.535,0.285,0.337
40.9,29.32,0.331,0.535,0.285,0.337
40.9,29.35,0.331,0.535,0.285,0.337
40.9,29.38,0.331,0.535,0.285,0.337
40.9,29.41,0.331,0.535,0.285,0.337
40.92,29.14,0.331,0.535,0.285,0.337
40.92,29.17,0.331,0.535,0.285,0.337
40.92,29.2,0.331,0.535,0.285,0.337
40.92,29.23,0.331,0.535,0.285,0.337
40.92,29.26,0.331,0.535,0.285,0.337
40.92,29.29,0.331,0.535,0.285,0.337
40.92,29.32,0.331,0.535,0.285,0.337
40.92,29.35,0.331,0.535,0.285,0.337
40.92,29.38,0.331,0.535,0.285,0.337
40.92,29.41,0.331,0.535,0.285,0.337
40.94,29.11,0.331,0.535,0.285,0.337
40.94,29.14,0.331,0.535,0.285,0.337
40.94,29.17,0.331,0.535,0.285,0.337
40.94,29.2,0.331,0.535,0.285,0.337
40.94,29.23,0.331,0.535,0.285,0.337
40.94,29.26,0.331,0.535,0.285,0.337
40.94,29.29,0.331,0.535,0.285,0.337
40.94,29.32,0.331,0.535,0.285,0.337
40.94,29.35,0.331,0.535,0.285,0.337
40.94,29.38,0.331,0.535,0.285,0.337
40.94,29.41,0.331,0.535,0.285,0.337
40.96,28.63,0.337,0.5475,0.333,0.298
40.96,28.81,0.337,0.5475,0.333,0.298
40.96,28.84,0.337,0.5475,0.333,0.298
40.96,29.08,0.331,0.535,0.285,0.337
40.96,29.11,0.331,0.535,0.285,0.337
40.96,29.14,0.331,0.535,0.285,0.337
40.96,29.17,0.331,0.535,0.285,0.337
40.96,29.2,0.331,0.535,0.285,0.337
40.96,29.23,0.331,0.535,0.285,0.337
40.96,29.26,0.331,0.535,0.285,0.337
40.96,29.29,0.331,0.535,0.285,0.337
40.96,29.32,0.331,0.535,0.285,0.337
40.96,29.35,0.331,0.535,0.285,0.337
40.96,29.38,0.331,0.535,0.285,0.337
40.96,29.41,0.331,0.535,0.285,0.337
40.96,29.44,0.331,0.535,0.285,0.337
40.96,29.47,0.331,0.535,0.285,0.337
40.98,28.6,0.337,0.5475,0.333,0.298
40.98,28.63,0.337,0.5475,0.333,0.298
40.98,28.66,0.337,0.5475,0.333,0.298
40.98,28.69,0.337,0.5475,0.333,0.298
