lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,suitability_score
40.98,28.81,0.337,0.5475,0.333,0.298,0.40445000000000003
40.98,28.9,0.337,0.5475,0.333,0.298,0.40445000000000003
40.96,28.84,0.337,0.5475,0.333,0.298,0.40445000000000003
40.98,28.6,0.337,0.5475,0.333,0.298,0.40445000000000003
40.98,28.63,0.337,0.5475,0.333,0.298,0.40445000000000003
40.98,28.66,0.337,0.5475,0.333,0.298,0.40445000000000003
40.98,28.69,0.337,0.5475,0.333,0.298,0.40445000000000003
40.98,28.72,0.337,0.5475,0.333,0.298,0.40445000000000003
40.98,28.75,0.337,0.5475,0.333,0.298,0.40445000000000003
40.98,28.78,0.337,0.5475,0.333,0.298,0.40445000000000003
40.96,28.63,0.337,0.5475,0.333,0.298,0.40445000000000003
40.98,28.84,0.337,0.5475,0.333,0.298,0.40445000000000003
40.98,28.87,0.337,0.5475,0.333,0.298,0.40445000000000003
40.96,28.81,0.337,0.5475,0.333,0.298,0.40445000000000003
40.98,29.05,0.331,0.535,0.285,0.298,0.40010000000000007
40.98,29.02,0.331,0.535,0.285,0.298,0.40010000000000007
40.98,29.2,0.331,0.535,0.285,0.337,0.39620000000000005
40.96,29.23,0.331,0.535,0.285,0.337,0.39620000000000005
40.96,29.41,0.331,0.535,0.285,0.337,0.39620000000000005
40.96,29.38,0.331,0.535,0.285,0.337,0.39620000000000005
