name,capacity_mw,latitude,longitude
Acıpınar,9.1,37.586,34.142
Adiyaman Hive,10.0,37.925,38.62
Akhisar Asunim,19.8,38.93,27.971
Aktaş,7.0,38.729,29.265
Akçaköy,8.5,38.825,27.265
Altınekin,8.4,38.282,32.882
Araban,6.6,37.4462,37.9958
Askale,5.9,39.938,40.6854
Astor,9.0,37.3743,38.5128
Basoren,10.0,37.183,35.587
Burdur 18,8.3,37.507,30.012
Burdur 5,4.8,37.44,30.0
Bünyan A,15.0,38.675,36.012
Büğet A,7.0,38.228,35.041
Cihanbeyli,12.0,38.656,32.807
Cine,12.3,37.7,28.003
Corum,9.4,40.4887,34.8344
Cumra Koyuncu,18.5,37.46,32.705
Dayıcık,6.6,36.423,33.323
Demercit,9.0,37.1994,36.4873
Denizli Karine,7.4,37.845,29.311
Denizli Prime,14.0,37.868,29.078
Derinkuyu Güneş,17.0,38.4198,34.6869
Ekinözü,10.0,38.789,39.861
Erdemli,35.0,36.5465,34.1375
Eskipazar,7.6,40.923,32.71
Eğribayat,11.0,38.114,32.7823
Fadilli,4.8,38.94,33.665
Gaziantep ,25.0,37.059,37.113
Güzelöz,7.0,38.3928,34.9755
Hıroğlu A,15.0,38.73,27.946
Imamoglu,5.2,37.3259,35.6829
Incesu Asunim,3.7,38.7427,35.1301
Incesu B,15.0,38.573,35.177
Kahramanmaraş,19.0,37.24,36.8
Kaman,4.6,39.3373,33.5449
Karapinar,4.0,37.7412,33.4837
Kayseri 6,7.0,38.8115,35.2151
Kayseri OSB,6.0,38.709,35.334
Kayseri OSB2,45.0,38.709,35.337
Korkuteli,4.5,37.122,30.2424
Kula Manisa,20.6,38.601,28.653
Kulu,4.0,38.93,33.065
Kızören,18.0,38.165,33.211
Makascı Mühendislik,10.0,38.5272,31.6121
Obruk,4.0,38.162,33.1799
Pinarkent A,5.0,37.8219,29.2398
Sarıoğlan,6.3,39.064,36.0549
Savcıllı,11.7,37.9678,28.7803
Sivas,19.1,39.773,36.927
Sizir,4.8,39.2845,35.8487
Suleymanli,5.2,38.6451,27.1989
Talas,4.6,38.6522,35.7591
Tarsus,4.6,37.037,35.036
Turhal,4.8,40.3353,36.2349
Türkoğlu,10.0,37.43,36.923
Uzunahmet,4.3,39.9382,41.3985
Yakutiye,5.0,40.145,41.455
Yalnız A,8.0,38.5966,39.1689
Yalnız B,30.0,38.614,39.173
Yemişlik,7.4,38.6139,39.2106
YeniFoca,6.6,38.715,26.807
Yeniba,5.9,38.642,26.834
Yesilgolcuk,5.0,38.2513,34.7845
Çallıca,6.2,37.488,30.018
Ürgüp A,5.0,38.6722,35.0698
Şahinkaya Köyü,8.0,38.715,39.125
Şeyhömer,5.5,36.3362,33.3224
